minute_of_day,IdentiCool Temperature Sensor 2,Thermocouple TA 37C,Wireless Temperature Sensor 2
565.0,5.2,5.074999999999999,4.4
565.0,6.6,5.074999999999999,4.4
575.0,8.3,5.525,3.7
575.0,4.9,5.525,3.7
585.0,5.0,5.5,8.8
585.0,9.6,5.5,8.8
595.0,10.8,5.275,5.6
595.0,5.8,5.275,5.6
605.0,6.7,5.300000000000001,11.9
605.0,11.7,5.300000000000001,11.9
615.0,12.7,5.85,11.6
615.0,7.7,5.85,11.6
625.0,8.6,6.025,14.4
625.0,13.3,6.025,14.4
635.0,11.2,6.800000000000001,15.4
635.0,9.5,6.800000000000001,15.4
645.0,9.7,7.175000000000001,9.7
645.0,9.2,7.175000000000001,9.7
655.0,8.6,7.950000000000001,14.5
655.0,9.0,7.950000000000001,14.5
665.0,8.0,8.35,7.2
665.0,10.3,8.35,7.2
669.0,4.2,8.174999999999999,3.8
675.0,7.6,8.325,10.6
675.0,11.7,8.325,10.6
679.0,4.1,8.15,3.8
685.0,8.2,8.2,12.6
685.0,12.7,8.2,12.6
689.0,4.1,8.175,3.8
695.0,9.1,8.075000000000001,13.7
695.0,13.7,8.075000000000001,13.7
699.0,4.6,8.1,3.8
705.0,9.9,8.175,15.1
705.0,14.9,8.175,15.1
709.0,6.5,8.525,6.9
715.0,15.3,8.549999999999999,15.7
715.0,10.7,8.549999999999999,15.7
719.0,8.2,8.825000000000001,10.6
725.0,13.3,8.950000000000001,17.3
725.0,11.5,8.950000000000001,17.3
729.0,9.7,9.35,13.1
735.0,11.8,9.7,11.8
735.0,11.3,9.7,11.8
739.0,11.0,9.75,15.6
745.0,11.0,10.0,8.3
745.0,9.9,10.0,8.3
749.0,12.1,10.124999999999998,17.3
755.0,10.0,10.275,8.0
755.0,11.6,10.275,8.0
759.0,12.2,10.35,18.7
765.0,13.1,10.475000000000001,5.7
765.0,9.3,10.475000000000001,5.7
769.0,11.0,10.25,14.7
775.0,14.1,10.1,5.8
775.0,9.8,10.1,5.8
779.0,9.4,10.200000000000001,8.7
785.0,10.6,10.225,15.1
785.0,15.2,10.225,15.1
789.0,9.0,9.975000000000001,5.1
795.0,16.3,10.2,14.6
795.0,11.4,10.2,14.6
799.0,10.3,10.05,8.5
805.0,16.9,10.275,17.1
805.0,12.2,10.275,17.1
809.0,11.8,10.5,12.8
815.0,14.8,10.875,18.7
815.0,13.0,10.875,18.7
819.0,12.9,11.15,15.2
825.0,13.3,11.175,13.4
825.0,12.8,11.175,13.4
829.0,14.0,11.600000000000001,17.9
835.0,12.6,11.95,9.9
835.0,11.4,11.95,9.9
839.0,15.2,11.975,19.8
845.0,13.1,12.099999999999998,11.6
845.0,11.6,12.099999999999998,11.6
849.0,15.8,12.274999999999999,21.4
855.0,11.0,12.274999999999999,13.3
855.0,14.6,12.274999999999999,13.3
859.0,14.3,12.0,17.4
865.0,11.5,12.100000000000001,15.4
865.0,15.6,12.100000000000001,15.4
869.0,12.5,12.05,11.3
875.0,16.7,11.725,13.1
875.0,12.2,11.725,13.1
879.0,11.3,11.924999999999999,6.5
885.0,17.8,12.0,16.0
885.0,12.9,12.0,16.0
889.0,12.4,12.024999999999999,9.2
895.0,18.3,12.2,18.5
895.0,13.7,12.2,18.5
899.0,13.8,12.35,14.1
905.0,14.5,12.65,18.7
905.0,16.3,12.65,18.7
909.0,14.9,12.575,16.7
915.0,14.3,13.075000000000001,21.3
915.0,14.8,13.075000000000001,21.3
919.0,16.0,13.25,19.5
925.0,12.9,13.35,19.7
925.0,14.1,13.35,19.7
929.0,17.2,13.6,21.6
935.0,14.7,13.825000000000001,13.1
935.0,13.1,13.825000000000001,13.1
939.0,17.8,13.899999999999999,23.2
945.0,16.0,13.774999999999999,8.6
945.0,12.6,13.774999999999999,8.6
949.0,16.3,13.874999999999998,19.3
955.0,17.1,13.75,8.7
955.0,13.1,13.75,8.7
959.0,14.4,13.4,13.1
965.0,18.3,13.525,14.6
965.0,13.8,13.525,14.6
969.0,13.4,13.275,8.3
975.0,19.5,13.325,17.6
975.0,14.6,13.325,17.6
979.0,14.6,13.425,11.5
985.0,20.0,13.75,20.2
985.0,15.4,13.75,20.2
989.0,16.0,13.875,16.2
995.0,16.2,14.25,21.9
999.0,17.1,14.225000000000001,18.6
1005.0,16.6,14.649999999999999,23.2
1009.0,18.2,14.875,21.4
1019.0,19.5,15.0,23.5
1029.0,20.0,15.674999999999999,25.1
1039.0,18.2,15.375,21.2
