minute_of_day,Thermocouple TA 37C,Wireless Temperature Sensor 2 lag 10min,Wireless Temperature Sensor 2 lag 20min,Wireless Temperature Sensor 2 lag 30min
564.1666666666666,4.925,5.3,8.2,12.5
565.1666666666666,5.074999999999999,4.4,8.2,12.5
566.1666666666666,5.3,4.4,8.2,12.5
574.1666666666666,5.375,4.9,5.3,8.2
575.1666666666666,5.525,4.4,4.4,8.2
576.1666666666666,5.300000000000001,4.4,4.4,8.2
584.1666666666666,5.425,5.7,4.9,5.3
585.1666666666666,5.5,3.7,4.4,4.4
586.1666666666666,5.65,3.7,4.4,4.4
594.1666666666666,5.575,3.7,5.7,4.9
595.1666666666666,5.275,8.8,3.7,4.4
596.1666666666666,5.3999999999999995,8.8,3.7,4.4
604.1666666666666,5.325,10.7,3.7,5.7
605.1666666666666,5.300000000000001,5.6,8.8,3.7
606.1666666666666,5.35,5.6,8.8,3.7
614.1666666666666,5.7,9.5,10.7,3.7
615.1666666666666,5.85,11.9,5.6,8.8
616.1666666666666,5.7250000000000005,11.9,5.6,8.8
624.1666666666666,6.2,13.1,9.5,10.7
625.1666666666666,6.025,11.6,11.9,5.6
626.1666666666666,6.225,11.6,11.9,5.6
634.1666666666666,6.625,13.8,13.1,9.5
635.1666666666666,6.800000000000001,14.4,11.6,11.9
636.1666666666666,6.85,14.4,11.6,11.9
644.1666666666666,7.074999999999999,13.5,13.8,13.1
645.1666666666666,7.175000000000001,15.4,14.4,11.6
646.1666666666666,7.199999999999999,15.4,14.4,11.6
654.1666666666666,7.675,16.4,13.5,13.8
655.1666666666666,7.950000000000001,9.7,15.4,14.4
656.1666666666666,7.725,9.7,15.4,14.4
664.1666666666666,8.35,6.6,16.4,13.5
665.1666666666666,8.35,14.5,9.7,15.4
666.1666666666666,8.325,14.5,9.7,15.4
674.1666666666666,8.375,7.9,6.6,16.4
675.1666666666666,8.325,7.2,14.5,9.7
676.1666666666666,8.299999999999999,7.2,14.5,9.7
684.1666666666666,8.124999999999998,4.1,7.9,6.6
685.1666666666666,8.2,10.6,7.2,14.5
686.1666666666666,8.25,10.6,7.2,14.5
694.1666666666666,8.15,5.8,4.1,7.9
695.1666666666666,8.075000000000001,12.6,10.6,7.2
696.1666666666666,8.25,12.6,10.6,7.2
698.1666666666666,8.25,3.8,3.8,3.8
699.1666666666666,8.1,3.8,3.8,3.8
700.1666666666666,8.05,3.8,3.8,3.8
704.1666666666666,8.25,10.8,5.8,4.1
705.1666666666666,8.175,13.7,12.6,10.6
706.1666666666666,8.4,13.7,12.6,10.6
708.1666666666666,8.299999999999999,3.8,3.8,3.8
709.1666666666666,8.525,3.8,3.8,3.8
710.1666666666666,8.275,3.8,3.8,3.8
714.1666666666666,8.625,13.4,10.8,5.8
715.1666666666666,8.549999999999999,15.1,13.7,12.6
716.1666666666666,8.7,15.1,13.7,12.6
718.1666666666666,8.75,6.9,3.8,3.8
719.1666666666666,8.825000000000001,6.9,3.8,3.8
720.1666666666666,8.8,6.9,3.8,3.8
724.1666666666666,9.100000000000001,16.4,13.4,10.8
725.1666666666666,8.950000000000001,15.7,15.1,13.7
726.1666666666666,9.049999999999999,15.7,15.1,13.7
728.1666666666666,9.350000000000001,10.6,6.9,3.8
729.1666666666666,9.35,10.6,6.9,3.8
730.1666666666666,9.375,10.6,6.9,3.8
734.1666666666666,9.375,15.6,16.4,13.4
735.1666666666666,9.7,17.3,15.7,15.1
736.1666666666666,9.7,17.3,15.7,15.1
738.1666666666666,9.799999999999999,13.1,10.6,6.9
739.1666666666666,9.75,13.1,10.6,6.9
740.1666666666666,10.0,13.1,10.6,6.9
744.1666666666666,10.15,18.4,15.6,16.4
745.1666666666666,10.0,11.8,17.3,15.7
746.1666666666666,10.0,11.8,17.3,15.7
748.1666666666666,10.325,15.6,13.1,10.6
749.1666666666666,10.124999999999998,15.6,13.1,10.6
750.1666666666666,10.149999999999999,15.6,13.1,10.6
754.1666666666666,10.325,16.5,18.4,15.6
755.1666666666666,10.275,8.3,11.8,17.3
756.1666666666666,10.475000000000001,8.3,11.8,17.3
758.1666666666666,10.525,17.3,15.6,13.1
759.1666666666666,10.35,17.3,15.6,13.1
760.1666666666666,10.325,17.3,15.6,13.1
764.1666666666666,10.35,9.9,16.5,18.4
765.1666666666666,10.475000000000001,8.0,8.3,11.8
766.1666666666666,10.5,8.0,8.3,11.8
768.1666666666666,10.25,18.7,17.3,15.6
769.1666666666666,10.25,18.7,17.3,15.6
770.1666666666666,10.375,18.7,17.3,15.6
774.1666666666666,10.1,11.6,9.9,16.5
775.1666666666666,10.1,5.7,8.0,8.3
776.1666666666666,10.274999999999999,5.7,8.0,8.3
778.1666666666666,10.0,14.7,18.7,17.3
779.1666666666666,10.200000000000001,14.7,18.7,17.3
780.1666666666666,10.075,14.7,18.7,17.3
784.1666666666666,9.950000000000001,13.9,11.6,9.9
785.1666666666666,10.225,5.8,5.7,8.0
786.1666666666666,10.225,5.8,5.7,8.0
788.1666666666666,9.975000000000001,8.7,14.7,18.7
789.1666666666666,9.975000000000001,8.7,14.7,18.7
790.1666666666666,10.0,8.7,14.7,18.7
794.1666666666666,9.95,11.6,13.9,11.6
795.1666666666666,10.2,15.1,5.8,5.7
796.1666666666666,10.25,15.1,5.8,5.7
798.1666666666666,10.200000000000001,5.1,8.7,14.7
799.1666666666666,10.05,5.1,8.7,14.7
800.1666666666666,10.1,5.1,8.7,14.7
804.1666666666666,10.45,16.5,11.6,13.9
805.1666666666666,10.275,14.6,15.1,5.8
806.1666666666666,10.525,14.6,15.1,5.8
808.1666666666666,10.525,8.5,5.1,8.7
809.1666666666666,10.5,8.5,5.1,8.7
810.1666666666666,10.575,8.5,5.1,8.7
814.1666666666666,10.8,18.0,16.5,11.6
815.1666666666666,10.875,17.1,14.6,15.1
816.1666666666666,10.975000000000001,17.1,14.6,15.1
818.1666666666666,11.075,12.8,8.5,5.1
819.1666666666666,11.15,12.8,8.5,5.1
820.1666666666666,11.2,12.8,8.5,5.1
824.1666666666666,11.125,17.2,18.0,16.5
825.1666666666666,11.175,18.7,17.1,14.6
826.1666666666666,11.4,18.7,17.1,14.6
828.1666666666666,11.3,15.2,12.8,8.5
829.1666666666666,11.600000000000001,15.2,12.8,8.5
830.1666666666666,11.625,15.2,12.8,8.5
834.1666666666666,11.774999999999999,19.9,17.2,18.0
835.1666666666666,11.95,13.4,18.7,17.1
836.1666666666666,11.95,13.4,18.7,17.1
838.1666666666666,11.850000000000001,17.9,15.2,12.8
839.1666666666666,11.975,17.9,15.2,12.8
840.1666666666666,11.899999999999999,17.9,15.2,12.8
844.1666666666666,12.2,18.2,19.9,17.2
