Temperature,Relationship,Model,R2,RMSE,MAE,Pearson_r
30C,Thermocouple vs IdentiCool,Linear Regression,0.42922285961536,2.442111309009892,1.8576743634137047,0.7025662612866188
30C,Thermocouple vs IdentiCool,Ridge Regression,0.4341898472275164,2.431462283026716,1.850432963794812,0.7025662612866189
30C,Thermocouple vs IdentiCool,Random Forest,0.3036709388954991,2.6973632082490586,2.239140834061081,0.6554927640444682
30C,Thermocouple vs IdentiCool,Gradient Boosting,0.1210466779192519,3.030505489863237,2.570488888540015,0.5703750342113829
30C,Thermocouple vs IdentiCool,KNN Regression,0.2521820791960758,2.7953108056171505,2.2468750000000006,0.6482266661411343
30C,Thermocouple vs IdentiCool,SVR,0.4222442561474994,2.4569951828562497,1.8957910812660617,0.6948699490237152
30C,Thermocouple vs Wireless,Linear Regression,0.038691547686971,4.9580360647124655,4.227698946463578,0.3356495771775218
30C,Thermocouple vs Wireless,Ridge Regression,0.042044488700498,4.94938196235424,4.223620569223403,0.3356495771775218
30C,Thermocouple vs Wireless,Random Forest,-0.33346142303297,5.839404081932479,4.926530909302231,0.12447237411547
30C,Thermocouple vs Wireless,Gradient Boosting,-0.748256904111537,6.686224076282469,5.540502631436019,-0.0050716939570442
30C,Thermocouple vs Wireless,KNN Regression,-0.1869692697107223,5.509320511642066,4.573124999999999,0.2412376975060484
30C,Thermocouple vs Wireless,SVR,0.0095611377034439,5.032596802906747,4.246931214189703,0.3134369955174244
37C,Thermocouple vs IdentiCool,Linear Regression,0.6891687448480539,2.202188770722233,1.7179876817614332,0.8507185347944495
37C,Thermocouple vs IdentiCool,Ridge Regression,0.6865398511758367,2.2114818044007136,1.7276669019424749,0.8507185347944494
37C,Thermocouple vs IdentiCool,Random Forest,0.5803503279829458,2.5587959032635386,2.0393799812583597,0.7679756788778481
37C,Thermocouple vs IdentiCool,Gradient Boosting,0.4296017260908421,2.983192675310206,2.3881735484087363,0.6705717070623937
37C,Thermocouple vs IdentiCool,KNN Regression,0.592050573964423,2.522872866396561,2.076875,0.7715606292217679
37C,Thermocouple vs IdentiCool,SVR,0.6952171844829278,2.1806574075027325,1.7767400840628234,0.8649400574681061
37C,Thermocouple vs Wireless,Linear Regression,0.4414565186852356,4.076140714049888,3.579780610162413,0.694094389519365
37C,Thermocouple vs Wireless,Ridge Regression,0.4398377295899554,4.082043242985527,3.5841024883981047,0.6940943895193652
37C,Thermocouple vs Wireless,Random Forest,0.3235244621717145,4.4858704020887386,3.856102146088866,0.5771464533409509
37C,Thermocouple vs Wireless,Gradient Boosting,0.1087078562405736,5.149092734540104,4.307533212734758,0.4596789342286032
37C,Thermocouple vs Wireless,KNN Regression,0.2884597121546381,4.600662995699642,3.995,0.5824755504475332
37C,Thermocouple vs Wireless,SVR,0.4842041087164964,3.917054493305393,3.384617773459721,0.7214034131606555
